departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,08,17,00,2017,06,08,17,09,2017,06,08,18,38
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,08,18,00,2017,06,08,18,03,2017,06,08,19,24
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,08,19,00,2017,06,08,19,03,2017,06,08,20,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,08,21,00,2017,06,08,20,59,2017,06,08,22,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,09,07,00,2017,06,09,06,58,2017,06,09,08,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,09,08,00,2017,06,09,08,00,2017,06,09,09,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,09,09,00,2017,06,09,09,02,2017,06,09,10,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,09,10,00,2017,06,09,10,03,2017,06,09,11,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,09,11,00,2017,06,09,11,04,2017,06,09,12,40
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,09,12,00,2017,06,09,12,01,2017,06,09,13,40
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,09,13,00,2017,06,09,13,10,2017,06,09,14,40
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,09,14,00,2017,06,09,14,07,2017,06,09,15,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,09,15,00,2017,06,09,15,14,2017,06,09,16,42
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,09,16,00,2017,06,09,16,03,2017,06,09,17,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,09,18,00,2017,06,09,18,00,2017,06,09,19,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,09,19,00,2017,06,09,19,07,2017,06,09,20,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,09,21,00,2017,06,09,21,02,2017,06,09,22,27
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,09,07,00,2017,06,09,07,02,2017,06,09,08,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,09,08,00,2017,06,09,08,03,2017,06,09,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,09,09,00,2017,06,09,09,01,2017,06,09,10,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,09,10,00,2017,06,09,10,00,2017,06,09,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,09,11,00,2017,06,09,11,03,2017,06,09,12,40
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,09,12,00,2017,06,09,12,03,2017,06,09,13,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,09,13,00,2017,06,09,13,05,2017,06,09,14,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,09,14,00,2017,06,09,14,08,2017,06,09,15,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,09,15,00,2017,06,09,15,09,2017,06,09,16,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,09,16,00,2017,06,09,16,04,2017,06,09,17,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,09,17,00,2017,06,09,17,12,2017,06,09,18,42
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,09,18,00,2017,06,09,18,05,2017,06,09,19,26
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,09,19,00,2017,06,09,19,07,2017,06,09,20,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,09,21,00,2017,06,09,20,59,2017,06,09,22,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,10,07,00,2017,06,10,07,00,2017,06,10,08,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,10,08,00,2017,06,10,08,02,2017,06,10,09,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,10,09,00,2017,06,10,09,00,2017,06,10,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,10,10,00,2017,06,10,10,03,2017,06,10,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,10,11,00,2017,06,10,11,00,2017,06,10,12,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,10,13,00,2017,06,10,13,06,2017,06,10,14,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,10,15,00,2017,06,10,15,03,2017,06,10,16,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,10,17,00,2017,06,10,17,01,2017,06,10,18,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,10,19,00,2017,06,10,19,22,2017,06,10,20,56
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,10,21,00,2017,06,10,21,01,2017,06,10,22,32
